Inde #,Group,Company Name,Chemistry_Detail,Chemistry,Format,Part #,Cell Status,Cell Shape,Cycle Life,Last Cycle % OF Initial Capacity,vol. Energy Density (Wh/l),grav. Energy Density (Wh/kg),Ma Capacity (AH),Open Circuit Voltage (V),Nominal Voltage (V),Cut Off Voltage (V),Standard Discharge Current (A),Ma Constant Discharge Current (A),Crate_discharge_cyclelife,Weight (gr),Volume (CC),Fast/Quick Charge Current,Standard Charge Current (A),Crate_charge_cyclelife,t_rest_h,Length (mm),Height (mm),Width (mm),Diameter (mm),Jahr,Datenblatt,Sekundärquelle,ID / Date,Anmerkung,Charging Methode,Crate_CV_cutoff,t_cycle_DOD
ISI130,ISI130,CALB,Lithium Iron Phosphate,LFP,Prismatic,LFP176Ah,Active,Prismatic,2000,80,,141,176,3.65,3.2,2.5,88,176,1,3984,,176,88,1,,207,53.7,174,,2019,,,102.019,,CCCV,,80%
ISI131,ISI131,CALB,Lithium Iron Phosphate,LFP,Prismatic,26650FS3,Active,Prismatic,2000,80,,129,3.6,3.65,3.2,2,1.8,10.8,0.5,89,,5.4,1.8,0.5,,,65,,26,2019,,,102.019,,CCCV,,80%
ISI132,ISI132,Samsung,Nickel rich,,Prismatic,CS0495RT001A,Active,Prismatic,,,488,208,49.5,4.35,3.6,2.75,24.75,49.5,1,866,,49.5,24.75,1,,148,27,91,,2019,,,17.02.2022,Batemo,CCCV,,
ISI133,ISI133,BAK,Nickel rich,,Cylindrical,N21700CG50,Active,Cyl,800,80,704,260,5,4.2,3.6,2.5,2.5,15,1,70,,5,2.5,0.5,,,70,,21,2020,,,22.04.2020,Batemo,CCCV,0.01,
ISI134,ISI134,Panasonic,Nickel rich,,Cylindrical,NCR2170‑M,Active,Cyl,,,755,271,5.02,4.2,3.6,2.5,2.51,15.8,1,70,,5.02,2.51,0.5,,,70,,21,2020,,,01.09.2021,Batemo,CCCV,,
ISI135,ISI135,Molicel,Nickel rich,,Cylindrical,INR21700P42B,Active,Cyl,800,80,601,226,4.2,4.2,3.6,2.5,4.2,26,1,70,,6,4.2,1,,,70,,21,,,,,Batemo,CCCV,0.01,
ISI136,ISI136,Molicel,Nickel rich,,Cylindrical,INR21700P42A,Active,Cyl,800,80,615,230,4.2,4.2,3.6,2.5,4.2,26,2.5,70,,6,4.2,1,,,70,,21,,,,,Batemo,CCCV,0.01,
ISI137,ISI137,Samsung,Nickel rich,,Cylindrical,INR2170050S,Active,Cyl,,,742,260,5,4.2,3.6,2.5,5,20,1,72,,6,2.5,1,,,70,,21,2020,,,,Batemo,CCCV,,
ISI138,ISI138,LG Chem,Nickel rich,,Pouch,A7,Active,Prismatic,,,524,211,50,4.2,3.6,2.5,50,179,1,895,,50,25,1,,298,10.6,153,,2018,,,01.05.2017,Batemo,CCCV,,
ISI139,ISI139,Lishen,Nickel rich,,Prismatic,C‑PR51A,Active,Prismatic,,,481,215,51,4.2,3.6,2.5,51,188,1,911,,51,25.5,1,,148,28,98,,,,,,Batemo,CCCV,,
ISI140,ISI140,LG Chem,Nickel rich,,Pouch,E61V,Active,Prismatic,,,641,257,61,4.2,3.6,2.5,30.5,61,0.5,875,,61,20.13,0.33,,355,11.4,110,,2019,,,01.04.2021,Batemo,CCCV,,
ISI141,ISI141,LG Chem,Nickel rich,,Pouch,E66A,Active,Prismatic,,,648,259,65,4.2,3.657,2.5,32.5,65,0.5,897,426,65,21.45,0.33,,350,11.7,104,,2020,,,01.11.2020,Batemo,CCCV,,
